senderId,receiverId,amount,timestamp,deviceId,geoIp
flash.account1@paytm,flash.account2@gpay,75000.00,2024-06-15T01:10:15Z,DEV020,192.168.1.200
flash.account2@gpay,flash.account3@phonepe,75000.00,2024-06-15T01:11:30Z,DEV021,192.168.1.201
flash.account3@phonepe,flash.account4@upi,75000.00,2024-06-15T01:12:45Z,DEV022,192.168.1.202
flash.account4@upi,flash.account1@paytm,75000.00,2024-06-15T01:14:00Z,DEV023,192.168.1.203
quick.mover@gpay,temp.holder1@phonepe,50000.00,2024-06-15T02:05:20Z,DEV024,192.168.1.210
temp.holder1@phonepe,temp.holder2@upi,50000.00,2024-06-15T02:06:35Z,DEV025,192.168.1.211
temp.holder2@upi,quick.mover@gpay,50000.00,2024-06-15T02:07:50Z,DEV026,192.168.1.212
rapid.tx1@paytm,rapid.tx2@gpay,95000.00,2024-06-15T03:20:10Z,DEV027,192.168.1.220
rapid.tx2@gpay,rapid.tx3@phonepe,95000.00,2024-06-15T03:21:25Z,DEV028,192.168.1.221
rapid.tx3@phonepe,rapid.tx1@paytm,95000.00,2024-06-15T03:22:40Z,DEV029,192.168.1.222
velocity.test@upi,velocity.dest@paytm,120000.00,2024-06-15T04:30:15Z,DEV030,192.168.1.230
velocity.dest@paytm,velocity.test@upi,120000.00,2024-06-15T04:31:30Z,DEV031,192.168.1.231
