senderId,receiverId,amount,timestamp,deviceId,geoIp
normal.user1@paytm,shop.abc@gpay,125.50,2024-06-15T10:15:30Z,DEV100,192.168.1.400
normal.user2@phonepe,restaurant.xyz@upi,675.75,2024-06-15T12:30:45Z,DEV101,192.168.1.401
smurfer.main@gpay,split.acc1@paytm,9900.00,2024-06-15T02:10:15Z,DEV102,192.168.1.402
smurfer.main@gpay,split.acc2@phonepe,9850.00,2024-06-15T02:12:30Z,DEV102,192.168.1.402
smurfer.main@gpay,split.acc3@upi,9950.00,2024-06-15T02:14:45Z,DEV102,192.168.1.402
smurfer.main@gpay,split.acc4@paytm,9800.00,2024-06-15T02:16:00Z,DEV102,192.168.1.402
smurfer.main@gpay,split.acc5@phonepe,9875.00,2024-06-15T02:18:15Z,DEV102,192.168.1.402
customer.real@phonepe,grocery.store@gpay,345.25,2024-06-15T14:20:10Z,DEV103,192.168.1.403
flash.acc1@upi,flash.acc2@paytm,85000.00,2024-06-15T03:05:20Z,DEV104,192.168.1.404
flash.acc2@paytm,flash.acc3@gpay,84500.00,2024-06-15T03:06:35Z,DEV105,192.168.1.405
flash.acc3@gpay,flash.acc1@upi,84000.00,2024-06-15T03:07:50Z,DEV106,192.168.1.406
student@paytm,college.fees@phonepe,15000.00,2024-06-15T16:45:30Z,DEV107,192.168.1.407
mule.master@gpay,worker1@upi,12000.00,2024-06-15T05:10:15Z,DEV108,192.168.1.408
mule.master@gpay,worker2@paytm,12000.00,2024-06-15T05:12:30Z,DEV108,192.168.1.408
mule.master@gpay,worker3@phonepe,12000.00,2024-06-15T05:14:45Z,DEV108,192.168.1.408
worker1@upi,final.dest@gpay,11500.00,2024-06-15T06:20:10Z,DEV109,192.168.1.409
worker2@paytm,final.dest@gpay,11500.00,2024-06-15T06:22:25Z,DEV109,192.168.1.409
worker3@phonepe,final.dest@gpay,11500.00,2024-06-15T06:24:40Z,DEV109,192.168.1.409
legitimate.buyer@upi,ecommerce.site@paytm,2499.00,2024-06-15T18:30:15Z,DEV110,192.168.1.410
circle.node1@phonepe,circle.node2@gpay,75000.00,2024-06-15T01:45:20Z,DEV111,192.168.1.411
circle.node2@gpay,circle.node3@upi,74500.00,2024-06-15T01:46:35Z,DEV112,192.168.1.412
circle.node3@upi,circle.node1@phonepe,74000.00,2024-06-15T01:47:50Z,DEV113,192.168.1.413
