senderId,receiverId,amount,timestamp,deviceId,geoIp
john.doe@paytm,merchant1@gpay,250.00,2024-06-15T09:15:30Z,DEV001,192.168.1.100
alice.smith@phonepe,bob.wilson@paytm,1500.00,2024-06-15T10:22:15Z,DEV002,192.168.1.101
restaurant@upi,customer123@gpay,875.50,2024-06-15T12:45:30Z,DEV003,192.168.1.102
sarah.jones@paytm,grocery.store@phonepe,320.75,2024-06-15T14:10:45Z,DEV004,192.168.1.103
mike.brown@gpay,taxi.service@upi,180.00,2024-06-15T16:30:20Z,DEV005,192.168.1.104
coffee.shop@paytm,emma.davis@phonepe,95.50,2024-06-15T18:20:10Z,DEV006,192.168.1.105
tech.store@gpay,developer@upi,2500.00,2024-06-15T20:15:45Z,DEV007,192.168.1.106
student@phonepe,bookstore@paytm,450.25,2024-06-16T08:30:15Z,DEV008,192.168.1.107
gas.station@upi,commuter@gpay,750.00,2024-06-16T09:45:30Z,DEV009,192.168.1.108
pharmacy@paytm,patient@phonepe,125.75,2024-06-16T11:20:45Z,DEV010,192.168.1.109
freelancer@gpay,client.corp@upi,5000.00,2024-06-16T13:15:20Z,DEV011,192.168.1.110
movie.theater@phonepe,family@paytm,680.00,2024-06-16T19:30:15Z,DEV012,192.168.1.111
